id,cantidad_postes ,latitud,longitud,tipo_lampara,sector_id,descripcion,luminarias_por_poste,capacidad,,,,,,,,,
,1,20.7163067,-87.0154267,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7167556,-87.0151185,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7179317,-87.014185,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.718475,-87.0137733,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7190246,-87.013344,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7218018,-87.0112583,LED ,7,5-Post  (Camellón),2,120,,,,,,,,,
,1,20.7223368,-87.01085,LED ,7,5-Post  (Camellón),2,120,,,,,,,,,
,1,20.711345,-87.0192717,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7118099,-87.0189417,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7122263,-87.0186083,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.712739,-87.018236,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7133959,-87.0177275,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7140434,-87.0172169,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7146583,-87.0167667,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.701912,-87.026495,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7021113,-87.0263499,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7085166,-87.0214776,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.709125,-87.0209945,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.709625,-87.0206017,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7101442,-87.0202214,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7105536,-87.0198917,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7030245,-87.0256662,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7036304,-87.0252351,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7040314,-87.0249124,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7047233,-87.024385,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7053317,-87.0239317,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.70535,-87.023915,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7062664,-87.0232072,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7069087,-87.0227138,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7072561,-87.0224385,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7079246,-87.021939,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7083067,-87.0216417,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7004083,-87.0276783,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7007119,-87.0274589,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.7014123,-87.0269007,LED ,8,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6914717,-87.0345006,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6919934,-87.0341105,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6986567,-87.02902,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6992667,-87.028525,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6997241,-87.0282228,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6866333,-87.0382283,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6873444,-87.037693,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6925721,-87.0336484,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6932613,-87.0331285,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6935523,-87.0329251,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.69378115955441,-87.03289467197156,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6947361,-87.0320739,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6955,-87.031495,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6958767,-87.0311909,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6964148,-87.0307279,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6970019,-87.0302821,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6976382,-87.0298064,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6981484,-87.0294228,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6886487,-87.036712,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6893027,-87.0361944,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6897808,-87.0358395,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6901672,-87.035548,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6909153,-87.0349314,LED ,9,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6833698,-87.0407289,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6838314,-87.040386,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6846617,-87.0397386,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6851636,-87.0393765,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6854127,-87.0391512,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6859052,-87.0387946,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6866333,-87.0382283,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6804567,-87.0429725,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6808716,-87.0426422,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6814084,-87.0422182,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6819303,-87.0418575,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.682485,-87.041405,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.6829142,-87.0410855,LED ,10,4-Post(Jardín ),2,250,,,,,,,,,
,1,20.679670363749384,-87.04371899327393,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.679132481985242,-87.0441917697113,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.67849032417358,-87.04467558528081,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.677840796734237,-87.04513505753557,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.677368589990575,-87.04553903261787,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.674923592731833,-87.04741685188579,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.675462028363597,-87.04701032220078,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.674347581465074,-87.04784005563621,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.673948485012808,-87.04815868275568,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.673479954297864,-87.0485374644756,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.68011535268351,-87.04341210994018,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.67688859542692,-87.04587056377831,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.676474436494413,-87.04625366864416,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.67600080448858,-87.0466141768844,LED ,11,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.67586429792437,-87.04679827732167,LED ,11,SEMAFOROS,1,10,,,,,,,,,
,1,20.67579594043058,-87.04673840411918,LED ,11,SEMAFOROS,1,25,,,,,,,,,
,1,20.675767554735454,-87.04671270890842,LED ,11,SEMAFOROS,6,25,,,,,,,,,
,1,20.675726956795764,-87.04675839743612,LED ,11,SEMAFOROS,3,25,,,,,,,,,
,1,20.675788709553313,-87.0467860373869,LED ,11,SEMAFOROS,6,25,,,,,,,,,
,1,20.675773256915843,-87.0468386773181,LED ,11,SEMAFOROS,4,25,,,,,,,,,
,1,20.673001785366854,-87.0489250049667,LED ,11,SEMAFOROS,6,25,,,,,,,,,
,1,20.67567320839858,-87.04669200837714,LED ,11,SEMAFOROS,2,10,,,,,,,,,
,1,20.67573117340613,-87.04664766965048,LED ,11,SEMAFOROS,2,10,,,,,,,,,
,1,20.6666958202007,-87.05372581850186,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.66626585759521,-87.05405439682407,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.66984871812287,-87.05130453760526,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.669436323220673,-87.05160011561482,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.668993582170053,-87.05195202982783,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.668500954560294,-87.05231591669082,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6677081013358,-87.05288766011708,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.665954425234354,-87.0542971346587,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.665591476906233,-87.05460737544466,LED ,12,5-Post  (Camellón),1,250,,,,,,,,,
,1,20.672993775109322,-87.04886062418416,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.672732975190662,-87.04909898104233,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.67213087429831,-87.04957481998962,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.671479581099355,-87.05009082375418,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.671000592770074,-87.05047195318339,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.670473986260518,-87.0508233404746,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.670217278433075,-87.05105558645286,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.66703336656736,-87.05346166042922,LED ,12,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.67068116926442,-87.05066564380627,LED ,12,5-Post  (Camellón),9,25,,,,,,,,,
,1,20.670634635543387,-87.0508209244534,LED ,12,5-Post  (Camellón),12,25,,,,,,,,,
,1,20.65422344167725,-87.06332175174047,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.654354189045662,-87.0632209368017,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.65388395861426,-87.06360986569523,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.65346433944074,-87.06390252368692,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.653099181839387,-87.06411563167556,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.652651309846647,-87.06446311513443,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.656608499627175,-87.06147972387127,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.65627036425245,-87.06171877836965,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.656005349050197,-87.06195008485162,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.655530923456148,-87.06232341999888,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.655042555246837,-87.06268407446922,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
,1,20.6547183835282,-87.06297298165823,LED ,13,5-Post  (Camellón),2,250,,,,,,,,,
